Месец,Број/Површина ( во m2 ),"Видови објекти од високоградба, број/површина ( во m2 )",value
2012М03,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,32628
2012М03,Површина ( во m2 ),12 Нестанбени згради,45652
2012М03,Површина ( во m2 ),121 Хотели и слични згради,13783
2012М03,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,8343
2012М03,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,16
2012М03,Површина ( во m2 ),125 Индустриски згради и складишта,18075
2012М03,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",5390
2012М03,Површина ( во m2 ),127 Други нестанбени згради,45
2012М04,Површина ( во m2 ),11 Станови во станбени објекти (згради),37584
2012М04,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,7018
2012М04,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,30566
2012М04,Површина ( во m2 ),12 Нестанбени згради,35431
2012М04,Површина ( во m2 ),121 Хотели и слични згради,15053
2012М04,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2129
2012М04,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,62
2012М04,Површина ( во m2 ),125 Индустриски згради и складишта,10775
2012М04,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",6747
2012М04,Површина ( во m2 ),127 Други нестанбени згради,665
2012М05,Површина ( во m2 ),11 Станови во станбени објекти (згради),43073
2012М05,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,13200
2012М05,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,29873
2012М05,Површина ( во m2 ),12 Нестанбени згради,19232
2012М05,Површина ( во m2 ),121 Хотели и слични згради,1971
2012М05,Површина ( во m2 ),122 Деловни згради,1052
2012М05,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,2123
2012М05,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,60
2012М05,Површина ( во m2 ),125 Индустриски згради и складишта,12538
2012М05,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",176
2012М05,Површина ( во m2 ),127 Други нестанбени згради,1312
2012М06,Површина ( во m2 ),11 Станови во станбени објекти (згради),47452
2012М06,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8293
2012М06,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,39159
2012М06,Површина ( во m2 ),12 Нестанбени згради,19435
2012М06,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,1941
2012М06,Површина ( во m2 ),125 Индустриски згради и складишта,16830
2012М06,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",91
2012М06,Површина ( во m2 ),127 Други нестанбени згради,573
2012М07,Површина ( во m2 ),11 Станови во станбени објекти (згради),109196
2012М07,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8664
2012М07,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,100186
2012М07,Површина ( во m2 ),113 Станови на заедници,346
2012М07,Површина ( во m2 ),12 Нестанбени згради,95654
2012М07,Површина ( во m2 ),121 Хотели и слични згради,22260
2012М07,Површина ( во m2 ),122 Деловни згради,2175
2012М07,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,5375
2012М07,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,7133
2012М07,Површина ( во m2 ),125 Индустриски згради и складишта,57282
2012М07,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",735
2012М07,Површина ( во m2 ),127 Други нестанбени згради,694
2012М08,Површина ( во m2 ),11 Станови во станбени објекти (згради),51112
2012М08,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,8726
2012М08,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,42386
2012М08,Површина ( во m2 ),12 Нестанбени згради,26108
2012М08,Површина ( во m2 ),121 Хотели и слични згради,8522
2012М08,Површина ( во m2 ),122 Деловни згради,38
2012М08,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,3625
2012М08,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,79
2012М08,Површина ( во m2 ),125 Индустриски згради и складишта,13183
2012М08,Површина ( во m2 ),127 Други нестанбени згради,661
2012М09,Површина ( во m2 ),11 Станови во станбени објекти (згради),47536
2012М09,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,11873
2012М09,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,35663
2012М09,Површина ( во m2 ),12 Нестанбени згради,33478
2012М09,Површина ( во m2 ),122 Деловни згради,6898
2012М09,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,3972
2012М09,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,59
2012М09,Површина ( во m2 ),125 Индустриски згради и складишта,15194
2012М09,Површина ( во m2 ),"126 Згради за разонода на публика, за образование, болници или згради за институционална грижа",6379
2012М09,Површина ( во m2 ),127 Други нестанбени згради,976
2012М10,Површина ( во m2 ),11 Станови во станбени објекти (згради),42181
2012М10,Површина ( во m2 ),111 Станови во објекти (згради) со еден стан,11009
2012М10,Површина ( во m2 ),112 Станови во објекти (згради) со два и повеќе стана,31172
2012М10,Површина ( во m2 ),12 Нестанбени згради,60204
2012М10,Површина ( во m2 ),121 Хотели и слични згради,3486
2012М10,Површина ( во m2 ),122 Деловни згради,2185
2012М10,Површина ( во m2 ),123 Згради во трговијата на големо и на мало,19536
2012М10,Површина ( во m2 ),124 Згради за сообраќај и други комуникации,7133
2012М10,Површина ( во m2 ),125 Индустриски згради и складишта,21093
